,Cb = 0 mg/L,Cb = 2.3 mg/L,Cb = 4.6 mg/L,Cb = 6.9 mg/L,Time (hr)
0,0.0,0.0,0.0,0.0,1e-05
1,4.290024028802007e-10,2.880442551145279e-10,1.4708678719443924e-10,6.128431095930864e-12,1.2244995918367347
2,4.936436789071408e-05,3.314464701231756e-05,1.692492613258878e-05,7.052052559686217e-07,2.4489891836734694
3,0.0026648187888724806,0.0017892354725574933,0.0009136521561714517,3.806883984047715e-05,3.6734787755102043
4,0.018817844962313757,0.012634838760391176,0.006451832558411752,0.00026882635660996357,4.897968367346938
5,0.0548280201533089,0.03681309924741072,0.018798178338329308,0.0007832574307613527,6.122457959183673
6,0.10248908522316924,0.06881410007918021,0.035139114933372184,0.0014641297888715599,7.346947551020408
7,0.15058834231786022,0.10110931555482239,0.051630288792694046,0.002151262033066814,8.571437142857143
8,0.1921952374814282,0.1290453737419739,0.06589550999160565,0.002745646249792344,9.795926734693877
9,0.22469709050528763,0.15086804650491104,0.07703900246178819,0.0032099584359457367,11.020416326530611
10,0.24803279772459064,0.16653630704058742,0.08503981636204117,0.003543325681960141,12.244905918367346
11,0.2632886532373959,0.1767795243067667,0.09027039539250836,0.0037612664718267297,13.46939551020408
12,0.2719032955938019,0.18256364131775626,0.09322398705808155,0.0038843327940298877,14.693885102040817
13,0.27528904424616485,0.18483692971676646,0.09438481517554465,0.003932700632276465,15.918374693877551
14,0.2746815666832845,0.18442905192205217,0.09417653716354835,0.0039240223808292285,17.142864285714285
15,0.2711010398052167,0.18202498388382082,0.09294892793877807,0.0038728719973448733,18.367353877551018
16,0.26536219444096787,0.17817175913478422,0.09098132380131574,0.0037908884927730924,19.591843469387754
17,0.2581022942904383,0.17329725465424417,0.08849221516084071,0.003687175630972206,20.81633306122449
18,0.24981277316692285,0.16773143337741203,0.08565009364428988,0.0035687539019590986,22.040822653061223
19,0.24086856201574847,0.16172603449740564,0.08258350698997674,0.0034409794576220065,23.26531224489796
20,0.23155307587512652,0.15547135095221165,0.0793896260247493,0.0033079010848382495,24.489801836734692
21,0.2220785959798377,0.14910991442229715,0.07614123290568386,0.0031725513715343823,25.71429142857143
22,0.21260248940598103,0.1427473857474979,0.07289228208264831,0.0030371784201008722,26.93878102040816
23,0.203239930795462,0.13646109635919856,0.06968226198659977,0.002903427582310769,28.163270612244897
24,0.19407379206131736,0.13030668896135467,0.06653958585957298,0.0027724827435235966,29.387760204081633
25,0.18516229217675573,0.12432325326699356,0.0634842144418144,0.002645175602282279,30.612249795918366
26,0.17654489562301023,0.11853728708956623,0.06052967849200286,0.0025220699381804934,31.836739387755102
27,0.1682468509516184,0.11296574272728321,0.057684634508859745,0.0024035264412702873,33.06122897959184
28,0.16028268615809793,0.1076183749946722,0.05495406380350687,0.002289752659550004,34.285718571428575
29,0.15265888897920377,0.10249953976381221,0.05234019051567884,0.0021808412707855496,35.51020816326531
30,0.1453759710657323,0.0976095816176894,0.049843190079627675,0.002076799745907465,36.73469775510204
31,0.13843005493254168,0.09294589404908038,0.04746173315152191,0.001977572214372003,37.959187346938776
32,0.13181408236596326,0.0885037409943834,0.04519339966782354,0.0018830583201605577,39.18367693877551
33,0.12551875360804843,0.08427687603398226,0.043035000624968234,0.0017931250228571116,40.40816653061225
34,0.1195332299448637,0.0802580257968657,0.04098282166205536,0.001707617570588127,41.632656122448985
35,0.11384568686844432,0.07643924689000414,0.03903280689246458,0.0016263669553069349,42.857145714285714
36,0.10844371877192316,0.07281221131779603,0.03718070360901038,0.0015491959876214878,44.08163530612245
37,0.10331465192757605,0.06936840914931963,0.03542216635287332,0.0014759235964447726,45.30612489795919
38,0.09844577556305012,0.06609930652666662,0.03375283732157186,0.0014063682244085385,46.53061448979592
39,0.09382451418605342,0.06299645952549326,0.032168404853564425,0.0013403502034492476,47.75510408163265
40,0.08943855579491355,0.0600516018075723,0.03066464769653976,0.0012776936533072103,48.97959367346939
41,0.08527593618327955,0.05725670006313521,0.02923746380747616,0.0012182276607717313,50.204083265306124
42,0.08132510528230341,0.05460399926869286,0.02788289324348625,0.0011617872178533162,51.42857285714286
43,0.07757495981331886,0.052086044478073745,0.026597129098718142,0.0011082137122997437,52.6530624489796
44,0.07401487684273889,0.04969570304456283,0.025376529159302663,0.0010573553823576276,53.877552040816326
45,0.07063471574656432,0.04742616627981988,0.024217616823989374,0.0010090673684146623,55.10204163265306
46,0.06742482717072562,0.0452709554347166,0.023117083616625678,0.0009632118167317572,56.3265312244898
47,0.06437604578695755,0.0432239164197199,0.02207178711796587,0.0009196577960750574,57.551020816326535
48,0.06147967803008214,0.041279212327935966,0.021078746632838374,0.0008782811181831107,58.77551040816327
49,0.05872749305081015,0.03943131677033307,0.020135140468710233,0.0008389641858528307,60.0
