,RELAP Time (hr),RELAP First Component (mg/L),RELAP Second Component (mg/L),RELAP Combined (mg/L)
0,1e-05,0.0,0.0,0.0
1,0.2605310220440882,2.1144737554225623e-16,1.4529945790679596e-18,2.129003701213242e-16
2,0.5210520440881763,1.749551902054288e-12,8.331670366793753e-14,1.8328686057222255e-12
3,0.7815730661322645,3.514404347292124e-11,3.373919637982172e-12,3.8517963110903414e-11
4,1.0420940881763527,2.4678345570376696e-09,2.6358571875629734e-11,2.4941931289132995e-09
5,1.3026151102204409,2.1155398505820542e-07,1.503705721199722e-09,2.1305769077940514e-07
6,1.5631361322645292,4.269857220299594e-06,5.5076202815986445e-08,4.32493342311558e-06
7,1.8236571543086173,3.661185736058881e-05,7.442573097139372e-07,3.7356114670302746e-05
8,2.0841781763527054,0.00018351626104850898,5.28573279153351e-06,0.00018880199384004249
9,2.3446991983967935,0.000642572472373892,2.4405593924741298e-05,0.0006669780662986333
10,2.6052202204408816,0.0017493096899450986,8.330271928111916e-05,0.0018326124092262178
11,2.8657412424849698,0.0039637710859814265,0.00022813009786586827,0.004191901183847295
12,3.1262622645290583,0.00781944280712249,0.0005293539386009298,0.008348796745723419
13,3.3867832865731464,0.013840487082914618,0.0010803602856233718,0.01492084736853799
14,3.6473043086172345,0.02243946941305619,0.0019904759648221864,0.024429945377878376
15,3.9078253306613226,0.03382749622895392,0.0033728932815736356,0.03720038951052755
16,4.16834635270541,0.047970291073935495,0.00533020995593945,0.05330050102987494
17,4.428867374749498,0.06459974789225137,0.007941503312584966,0.07254125120483633
18,4.6893883967935865,0.08326643807383942,0.011253939733364169,0.09452037780720358
19,4.949909418837675,0.10340988661158423,0.015279900620109746,0.11868978723169397
20,5.210430440881763,0.12442724980280309,0.01999888989376061,0.1444261396965637
21,5.470951462925851,0.14572921637658426,0.025362655952619346,0.17109187232920361
22,5.731472484969939,0.16677923101885578,0.03130188899314092,0.19808112001199668
23,5.991993507014027,0.1871167812523803,0.03773319070701918,0.22484997195939949
24,6.252514529058116,0.2063676966544438,0.0445654646484886,0.2509331613029324
25,6.513035551102204,0.22424500225682475,0.05170527905700129,0.27595028131382604
26,6.773556573146292,0.24054358341618112,0.05906105019305554,0.29960463360923667
27,7.0340775951903804,0.2551312861079828,0.06654608179442886,0.32167736790241164
28,7.294598617234469,0.26793838128369024,0.07408059712486657,0.34201897840855683
29,7.555119639278557,0.2789467067859333,0.0815929412275913,0.3605396480135246
30,7.815640661322645,0.2881793125314904,0.08902013515439941,0.37719944768588975
31,8.076161683366733,0.29569107567777186,0.0963079479832238,0.39199902366099565
32,8.336682705410821,0.30156050298410786,0.10341062781818805,0.4049711308022959
33,8.59720372745491,0.305882775613823,0.11029040565077301,0.416173181264596
34,8.857724749498997,0.3087639892648503,0.11691686098163352,0.42568085024648383
35,9.118245771543085,0.3103164878913633,0.1232662156376626,0.4335827035290259
36,9.378766793587173,0.31065516626691125,0.12932060420862965,0.43997577047554093
37,9.639287815631262,0.30989459995289104,0.1350673544979373,0.4449619544508283
38,9.89980883767535,0.308146877186586,0.14049830058551607,0.4486451777721021
39,10.160329859719438,0.3055200083611249,0.14560914224660074,0.4511291506077256
40,10.420850881763526,0.3021168073399968,0.15039885815351708,0.45251566549351385
41,10.681371903807614,0.29803415022040114,0.1548691766474654,0.45290332686786655
42,10.941892925851702,0.29336253351585545,0.1590241035399582,0.4523866370558136
43,11.20241394789579,0.2881858651135627,0.16286950504984526,0.45105537016340796
44,11.462934969939878,0.28258143348874804,0.16641274308587742,0.4489941765746255
45,11.723455991983966,0.27662001003602016,0.16966235846717392,0.4462823685031941
46,11.983977014028055,0.2703660498062972,0.17262779779441728,0.4429938476007145
47,12.244498036072143,0.2638779602210131,0.17531917968689395,0.4391971399079071
48,12.505019058116233,0.25720841758646024,0.17774709628520194,0.4349555138716622
49,12.76554008016032,0.2504047087617144,0.1799224449236563,0.43032715368537067
50,13.026061102204409,0.24350909085136774,0.1818562879831059,0.4253653788344737
51,13.286582124248497,0.23655915340797737,0.18355973583278118,0.4201188892407586
52,13.547103146292585,0.22958817611756357,0.18504385002752963,0.4146320261450932
53,13.807624168336673,0.22262547850990963,0.18631956502354183,0.40894504353345146
54,14.068145190380761,0.21569675598365748,0.18739762446382258,0.40309438044748
55,14.32866621242485,0.20882439852941515,0.18828853073704432,0.39711292926645947
56,14.589187234468938,0.2020277928575721,0.18900250568512378,0.3910302985426959
57,14.849708256513026,0.19532360453706482,0.18954946071344678,0.38487306525051157
58,15.110229278557114,0.18872604204484453,0.18993897453931077,0.3786650165841553
59,15.370750300601202,0.18224710036143327,0.19018027834225687,0.37242737870369014
60,15.63127132264529,0.1758967851255901,0.19028224554230366,0.36617903066789376
61,15.891792344689378,0.16968332464345987,0.19025338684852816,0.359936711491988
62,16.152313366733466,0.16361335460120802,0.19010184910954747,0.3537152037107555
63,16.412834388777554,0.15769209595923694,0.1898354168530933,0.34752751281233024
64,16.673355410821642,0.1519235106929243,0.18946151691620824,0.3413850276091326
65,16.93387643286573,0.1463104480749049,0.1889872245760111,0.33529767265091603
66,17.19439745490982,0.14085477558467419,0.18841927149537055,0.3292740470800447
67,17.454918476953907,0.13555749470212727,0.18776405553396508,0.3233215502360923
68,17.715439498997995,0.13041885167226278,0.1870276499146031,0.3174465015868659
69,17.975960521042083,0.12543843200241633,0.18621581446372426,0.3116542464661406
70,18.23648154308617,0.12061524699235701,0.1853340079509409,0.30594925494329794
71,18.49700256513026,0.11594781539274145,0.1843873976981869,0.30033521309092837
