iteration,mean_residence_time_1,peclet_number_1,mean_residence_time_2,peclet_number_2,fractional_recovery,MSE,R2
0,46.970769965962305,80.89013300351523,46.44668938267692,8.965741670809937,0.04233871300593059,0.021188176334898192,-0.6476489182327905
1,38.71526319929583,33.5641731272221,42.61861597024903,38.93307768433797,0.37302719914506155,0.032570118953043604,-1.532739033859539
2,39.3295255673675,38.39118081747683,8.230980541205696,20.47584481823531,0.06073850344728989,0.10584064910905874,-7.230450240418715
3,17.949553122612016,71.54034152846774,6.945099464294289,29.192524268711182,0.49249691329701434,0.04977894923995804,-2.8709434247483077
4,22.589352243154433,30.95719258289759,40.38454332243763,7.1840288471045435,0.3269881902440175,0.02027952746695299,-0.576989966718521
5,44.51371848860224,85.12460307327936,16.95169630007545,56.91994399986222,0.59961299111495,0.021381631829872086,-0.6626925318020682
6,18.690360524253027,42.01829550936894,24.029650428310674,14.319410486782996,0.7894877596249281,0.041912424958723805,-2.2592215843518986
7,43.51006014921432,67.11183887434724,43.45662655083367,29.951362611211838,0.1646533630542447,0.031469634586973154,-1.4471624440375255
8,46.824830144372655,60.02398737075697,42.0761105716934,18.359013115483712,0.19634533368655763,0.027352084086713028,-1.1269707710831915
9,38.35012190739018,14.36964553664529,16.884424840250126,74.5402431078949,0.16423787978231322,0.05117658472169466,-2.979627275268007
10,49.435287290156566,60.36062973389772,17.769834849802926,72.574707433446,0.17582546911647678,0.04858701980219029,-2.778255823054469
11,10.50302290204763,90.64198639637895,31.30660041693764,58.999536154232416,0.8900836917335557,0.1355246969174237,-9.538760709766052
12,48.211119108909976,20.756122942448652,30.608152909096546,12.663931584036016,0.7744133630394539,0.023028654897722944,-0.790769423987417
13,32.37179677072635,38.558208287830695,33.902577354184594,26.865152964999822,0.5971488588494586,0.038431487266009735,-1.9885346156773176
14,2.7088944827681276,40.789324090946444,26.941574645329357,56.977093511921275,0.4375498871883073,0.14703684461658,-10.433975918628065
15,11.295259998753824,90.45491218966716,48.61635733545203,89.59083939023718,0.900509436304378,0.11091582729359996,-7.625109587850382
16,24.22169581096617,89.28031505692073,30.659351632477865,50.00447527669189,0.5943460096864797,0.055487919681118804,-3.314888142921558
17,16.161732428915464,24.51689437706406,30.492300473996522,10.229419913558958,0.2220111141105309,0.014374362432569024,-0.11778863541453588
18,36.83322549318739,41.863200356170985,2.270378846082969,39.56669947998948,0.9994855815173896,0.038104074880202815,-1.9630741581672355
19,13.482746437505327,76.831381366274,38.97287926496271,5.528293344742523,0.7468292715157195,0.04282917587842088,-2.330510572948805
20,19.88071978700551,37.140299361246264,20.46907891355833,21.88559383275799,0.7558360563465399,0.04326048815128313,-2.3640505618827055
21,8.968943883745768,12.037079728560721,28.33144283018557,92.00824595440449,0.8098089508766949,0.044741919088733734,-2.4792505697997056
22,34.73654396205965,68.05984255575069,10.432809807497579,50.214082614890955,0.43083341897823935,0.028586614840020133,-1.2229711643242713
23,23.009698982352653,74.1469516796894,31.75746338632423,16.709170358500238,0.891245623250868,0.06743208386254915,-4.243698101913392
24,44.14004362036273,64.73000168430377,49.86395328045259,19.75508907310953,0.6590624078812809,0.03297814737625607,-1.5644684087471243
25,42.069652886001975,62.89545593961123,31.750837303437123,13.787229237206132,0.23142804567725783,0.023452277293910744,-0.8237114276684228
26,35.312695442355476,60.07663128646596,21.130702132482515,47.23437834681776,0.9386636613576508,0.04206747988289955,-2.2712790674522276
27,31.95403858900653,82.52024729629242,27.138888541561112,97.56382328140961,0.8598893554906356,0.05976115678792099,-3.6471864202762836
28,37.31790747696202,6.6749861369283,44.30140029526499,75.01060848931664,0.08060559672333327,0.035830096217551274,-1.7862435322378496
29,34.90575657476494,99.28105039053169,13.020604870174754,97.01397654401514,0.9226121529517045,0.048741270992677284,-2.790250805686524
30,46.20100334371235,22.108441009710372,22.05986001880173,13.88502198156172,0.9193953303411976,0.024141726625109022,-0.8773248404874465
31,33.41912274018586,98.53261349428476,9.251237439942367,95.51102838363381,0.8648400536462214,0.04157272288180759,-2.2328054477903687
32,2.1544700784085835,55.39876957504981,25.488684139088342,17.751734015799403,0.9648672405144122,0.7300842704951497,-55.77329372225508
33,22.56880020062826,75.7072078471286,32.00343629561955,18.333589285422057,0.07659665865584962,0.02968102370837329,-1.3080753072927473
34,5.908990710348892,67.01062789629927,10.036885225062726,87.38953055525882,0.8615398128643217,0.2775814475089797,-20.585471277977263
35,16.906317512403717,91.05148362332142,7.123862434687277,18.844272841545767,0.4254176308859063,0.04965802704555321,-2.861540193453064
36,5.593671240841777,3.145871945225935,13.707408013730808,80.61964368320866,0.07166735116835185,0.07081987444852746,-4.5071417039468855
37,3.98158612198012,16.468791475579323,2.7308605976077946,84.09377422390577,0.4529276268617496,0.48146753143556953,-36.44019517278762
38,24.48113629118189,64.500811243481,44.425503364195734,28.84160707614321,0.2932233073950207,0.02470073791542809,-0.9207950444925499
39,35.86603847722584,5.580705432254327,1.970209640928788,87.8967664612113,0.5786563382632259,0.16180664392873345,-11.582514777024437
40,45.804183372216706,59.79625241923909,21.84578195977758,29.52031785797719,0.26472882109885154,0.025409016585630963,-0.9758726767682928
41,3.8271868395435593,35.6064252081261,7.60706688808975,22.400326262723347,0.8906195154201346,0.33605844802148255,-25.132798292489134
42,21.5093728703226,21.19448623344428,34.994017790600346,58.329219820545646,0.6435175607867023,0.02262003277431345,-0.7589938813942241
43,29.552391780328083,49.14912653169616,47.680566568158454,80.56725554093427,0.2397804989588311,0.03175991360833528,-1.469735312413424
44,47.63607899059248,16.09999002170906,26.164588140936758,46.16189126860607,0.9714921867023544,0.024886680823324753,-0.9352544593193175
45,8.892851750989607,36.4509551897312,17.55896054619872,40.394599065463396,0.10230836997299175,0.03186096769686704,-1.4775935469788086
46,26.542979787853486,36.87407460113219,6.85988314686322,31.43138999561466,0.7820525377963512,0.02736960217231511,-1.128333023989509
47,18.310523876577072,94.58508102329345,11.20143467654528,35.82980901380056,0.3431897061800734,0.029145560782753436,-1.2664362867273864
48,12.77416398845806,79.34348272469589,13.362541117038113,33.81732127041049,0.4821681472279291,0.06373431646588625,-3.9561498790418845
49,9.587870723255646,20.87785184799236,46.62519334541365,61.31743463961181,0.10498101398314726,0.02548006528777554,-0.9813976127221977
50,28.80444425429479,78.58008945330798,1.6240654606524,45.40553478142658,0.54343684216725,0.19823593443998772,-14.41535325043261
51,5.6999770455703995,45.21843843087161,42.19341305026216,80.50627598992861,0.5804542297398587,0.12172274985472452,-8.465484615215756
52,49.97118623365875,29.25895827034539,36.897314300307954,40.07406466146642,0.671730195601028,0.02874327753480425,-1.2351536719411889
53,4.30483660657894,75.29202736025293,48.65441390612806,69.5502843422063,0.5967832536851698,0.22088676190868686,-16.176741809126565
